igt,x,y,z
2385313,373.8724670410156,-223.756103515625,-1177.0
2385329,373.8724670410156,-223.756103515625,-1177.0
2385345,373.8724670410156,-223.756103515625,-1177.0
2385361,373.8724670410156,-223.756103515625,-1177.0
2385377,373.8724670410156,-223.756103515625,-1177.0
2385393,373.8724670410156,-223.756103515625,-1177.0
2385409,373.8724670410156,-223.756103515625,-1177.0
2385425,373.8724670410156,-223.756103515625,-1177.0
2385441,373.8724670410156,-223.756103515625,-1177.0
2385457,373.8724670410156,-223.756103515625,-1177.0
2385473,373.8724670410156,-223.756103515625,-1177.0
2385489,373.8724670410156,-223.756103515625,-1177.0
2385505,373.8724670410156,-223.756103515625,-1177.0
2385521,373.8724670410156,-223.756103515625,-1177.0
2385537,373.8724670410156,-223.756103515625,-1177.0
2385553,373.8724670410156,-223.756103515625,-1177.0
2385569,373.8724670410156,-223.756103515625,-1177.0
2385585,373.8724670410156,-223.756103515625,-1177.0
2385601,373.8724670410156,-223.756103515625,-1177.0
2385617,373.8724670410156,-223.756103515625,-1177.0
2385633,373.8724670410156,-223.756103515625,-1177.0
2385649,373.8724670410156,-223.756103515625,-1177.0
2385665,373.8724670410156,-223.756103515625,-1177.0
2385681,373.8724670410156,-223.756103515625,-1177.0
2385697,373.8724670410156,-223.756103515625,-1177.0
2385713,373.8724670410156,-223.756103515625,-1177.0
2385729,373.8724670410156,-223.756103515625,-1177.0
2385745,373.8724670410156,-223.756103515625,-1177.0
2385761,373.8724670410156,-223.756103515625,-1177.0
2385777,373.8724670410156,-223.756103515625,-1177.0
2385793,373.8724670410156,-223.756103515625,-1177.0
2385809,373.8724670410156,-223.756103515625,-1177.0
2385825,373.8724670410156,-223.756103515625,-1177.0
2385841,373.8724670410156,-223.756103515625,-1177.0
2385857,373.8724670410156,-223.756103515625,-1177.0
2385873,373.8724670410156,-223.756103515625,-1177.0
2385889,373.8724670410156,-223.756103515625,-1177.0
2385905,373.8724670410156,-223.756103515625,-1177.0
2385921,373.8724670410156,-223.756103515625,-1177.0
2385937,373.8724670410156,-223.756103515625,-1177.0
2385953,373.8724670410156,-223.756103515625,-1177.0
2385969,373.8724670410156,-223.756103515625,-1177.0
2385985,373.8724670410156,-223.756103515625,-1177.0
2386001,373.8724670410156,-223.756103515625,-1177.0
2386017,373.8724670410156,-223.756103515625,-1177.0
2386033,373.8724670410156,-223.756103515625,-1177.0
2386049,373.8724670410156,-223.756103515625,-1177.0
2386065,373.8724670410156,-223.756103515625,-1177.0
2386081,373.8724670410156,-223.756103515625,-1177.0
2386097,373.8724670410156,-223.756103515625,-1177.0
2386113,373.8724670410156,-223.756103515625,-1177.0
2386129,373.8724670410156,-223.756103515625,-1177.0
2386145,373.8724670410156,-223.756103515625,-1177.0
2386161,373.8724670410156,-223.756103515625,-1177.0
2386177,373.8724670410156,-223.756103515625,-1177.0
2386193,373.8724670410156,-223.756103515625,-1177.0
2386209,373.8724670410156,-223.756103515625,-1177.0
2386225,373.8724670410156,-223.756103515625,-1177.0
2386241,373.8724670410156,-223.756103515625,-1177.0
2386257,373.8724670410156,-223.756103515625,-1177.0
2386273,373.8724670410156,-223.756103515625,-1177.0
2386289,373.8724670410156,-223.756103515625,-1177.0
2386305,373.8724670410156,-223.756103515625,-1177.0
2386321,373.8724670410156,-223.756103515625,-1177.0
2386337,373.8724670410156,-223.756103515625,-1177.0
2386353,373.8724670410156,-223.756103515625,-1177.0
2386369,373.8724670410156,-223.756103515625,-1177.0
2386385,373.8724670410156,-223.756103515625,-1177.0
2386401,373.8724670410156,-223.756103515625,-1177.0
2386417,373.8724670410156,-223.756103515625,-1177.0
2386433,373.8724670410156,-223.756103515625,-1177.0
2386449,373.8724670410156,-223.756103515625,-1177.0
2386465,373.8724670410156,-223.756103515625,-1177.0
2386481,373.8724670410156,-223.756103515625,-1177.0
2386497,373.8724670410156,-223.756103515625,-1177.0
2386513,373.8724670410156,-223.756103515625,-1177.0
2386529,373.8724670410156,-223.756103515625,-1177.0
2386545,373.8724670410156,-223.756103515625,-1177.0
2386561,373.8724670410156,-223.756103515625,-1177.0
2386577,373.8724670410156,-223.756103515625,-1177.0
2386593,373.8724670410156,-223.756103515625,-1177.0
2386609,373.8724670410156,-223.756103515625,-1177.0
2386625,373.8724670410156,-223.756103515625,-1177.0
2386641,373.8724670410156,-223.756103515625,-1177.0
2386657,373.8724670410156,-223.756103515625,-1177.0
2386673,373.8724670410156,-223.756103515625,-1177.0
2386689,373.8724670410156,-223.756103515625,-1177.0
2386705,373.8724670410156,-223.756103515625,-1177.0
2386721,373.8724670410156,-223.756103515625,-1177.0
2386737,373.8724670410156,-223.756103515625,-1177.0
2386753,373.8724670410156,-223.756103515625,-1177.0
2386769,373.8724670410156,-223.756103515625,-1177.0
2386785,373.8724670410156,-223.756103515625,-1177.0
2386801,373.8724670410156,-223.756103515625,-1177.0
2386817,373.8724670410156,-223.756103515625,-1177.0
2386833,373.8724670410156,-223.756103515625,-1177.0
2386849,373.8724670410156,-223.756103515625,-1177.0
2386865,373.8724670410156,-223.756103515625,-1177.0
2386881,373.8724670410156,-223.756103515625,-1177.0
2386897,373.8724670410156,-223.756103515625,-1177.0
2386913,373.8724670410156,-223.756103515625,-1177.0
2386929,373.8724670410156,-223.756103515625,-1177.0
2386945,373.8724670410156,-223.756103515625,-1177.0
2386961,373.8724670410156,-223.756103515625,-1177.0
2386977,373.8724670410156,-223.756103515625,-1177.0
2386993,373.8724670410156,-223.756103515625,-1177.0
2387009,373.8724670410156,-223.756103515625,-1177.0
2387025,373.8724670410156,-223.756103515625,-1177.0
2387041,373.8724670410156,-223.756103515625,-1177.0
2387057,373.8724670410156,-223.756103515625,-1177.0
2387073,373.8724670410156,-223.756103515625,-1177.0
2387089,373.8724670410156,-223.756103515625,-1177.0
2387105,373.8724670410156,-223.756103515625,-1177.0
2387121,373.8724670410156,-223.756103515625,-1177.0
2387137,373.8724670410156,-223.756103515625,-1177.0
2387153,373.8724670410156,-223.756103515625,-1177.0
2387169,373.8724670410156,-223.756103515625,-1177.0
2387185,373.8724670410156,-223.756103515625,-1177.0
2387201,373.8724670410156,-223.756103515625,-1177.0
2387219,373.8724670410156,-223.756103515625,-1177.0
2387237,373.8724670410156,-223.756103515625,-1177.0
2387255,373.8724670410156,-223.756103515625,-1177.0
2387271,373.8724670410156,-223.756103515625,-1177.0
2387287,373.8724670410156,-223.756103515625,-1177.0
2387303,373.8724670410156,-223.756103515625,-1177.0
2387319,373.8724670410156,-223.756103515625,-1177.0
2387335,373.8724670410156,-223.756103515625,-1177.0
2387351,373.8724670410156,-223.756103515625,-1177.0
2387367,373.8724670410156,-223.756103515625,-1177.0
2387383,373.8724670410156,-223.756103515625,-1177.0
2387399,373.8724670410156,-223.756103515625,-1177.0
2387415,373.8724670410156,-223.756103515625,-1177.0
2387431,373.8724670410156,-223.756103515625,-1177.0
2387447,373.8724670410156,-223.756103515625,-1177.0
2387463,373.8724670410156,-223.756103515625,-1177.0
2387479,373.8724670410156,-223.756103515625,-1177.0
2387495,373.8724670410156,-223.756103515625,-1177.0
2387511,373.8724670410156,-223.756103515625,-1177.0
2387527,373.8724670410156,-223.756103515625,-1177.0
2387543,373.8724670410156,-223.756103515625,-1177.0
2387559,373.8724670410156,-223.756103515625,-1177.0
2387575,373.8724670410156,-223.756103515625,-1177.0
2387591,373.8724670410156,-223.756103515625,-1177.0
2387607,373.8724670410156,-223.756103515625,-1177.0
2387623,373.8724670410156,-223.756103515625,-1177.0
2387639,373.8724670410156,-223.756103515625,-1177.0
2387655,373.8724670410156,-223.756103515625,-1177.0
2387671,373.8724670410156,-223.756103515625,-1177.0
2387687,373.8724670410156,-223.756103515625,-1177.0
2387703,373.8724670410156,-223.756103515625,-1177.0
2387719,373.8724670410156,-223.756103515625,-1177.0
2387735,373.8724670410156,-223.756103515625,-1177.0
2387751,373.8724670410156,-223.756103515625,-1177.0
2387767,373.8724670410156,-223.756103515625,-1177.0
2387783,373.8724670410156,-223.756103515625,-1177.0
2387799,373.8724670410156,-223.756103515625,-1177.0
2387815,373.8724670410156,-223.756103515625,-1177.0
2387831,373.8724670410156,-223.756103515625,-1177.0
2387847,373.8724670410156,-223.756103515625,-1177.0
2387863,373.8724670410156,-223.756103515625,-1177.0
2387879,373.8724670410156,-223.756103515625,-1177.0
2387895,373.8724670410156,-223.756103515625,-1177.0
2387911,373.8724670410156,-223.756103515625,-1177.0
2387927,373.8724670410156,-223.756103515625,-1177.0
2387943,373.8724670410156,-223.756103515625,-1177.0
2387959,373.8724670410156,-223.756103515625,-1177.0
2387975,373.8724670410156,-223.756103515625,-1177.0
2387991,373.8724670410156,-223.756103515625,-1177.0
2388007,373.8724670410156,-223.756103515625,-1177.0
2388023,373.8724670410156,-223.756103515625,-1177.0
2388039,373.8724670410156,-223.756103515625,-1177.0
2388055,373.8724670410156,-223.756103515625,-1177.0
2388071,373.8724670410156,-223.756103515625,-1177.0
2388087,373.8724670410156,-223.756103515625,-1177.0
2388103,373.8724670410156,-223.756103515625,-1177.0
2388119,373.8724670410156,-223.756103515625,-1177.0
2388135,373.8724670410156,-223.756103515625,-1177.0
2388151,373.8724670410156,-223.756103515625,-1177.0
2388167,373.8724670410156,-223.756103515625,-1177.0
2388183,373.8724670410156,-223.756103515625,-1177.0
2388199,373.8724670410156,-223.756103515625,-1177.0
2388215,373.8724670410156,-223.756103515625,-1177.0
2388231,373.8724670410156,-223.756103515625,-1177.0
2388247,373.8724670410156,-223.756103515625,-1177.0
2388263,373.8724670410156,-223.756103515625,-1177.0
2388279,373.8724670410156,-223.756103515625,-1177.0
2388295,373.8724670410156,-223.756103515625,-1177.0
2388311,373.8724670410156,-223.756103515625,-1177.0
2388327,373.8724670410156,-223.756103515625,-1177.0
2388343,373.8724670410156,-223.756103515625,-1177.0
2388359,373.8724670410156,-223.756103515625,-1177.0
2388375,373.8724670410156,-223.756103515625,-1177.0
2388391,373.8724670410156,-223.756103515625,-1177.0
2388407,373.8724670410156,-223.756103515625,-1177.0
2388423,373.8724670410156,-223.756103515625,-1177.0
2388439,373.8724670410156,-223.756103515625,-1177.0
2388455,373.8724670410156,-223.756103515625,-1177.0
2388471,373.8724670410156,-223.756103515625,-1177.0
2388487,373.8724670410156,-223.756103515625,-1177.0
2388503,373.8724670410156,-223.756103515625,-1177.0
2388519,373.8724670410156,-223.756103515625,-1177.0
2388535,373.8724670410156,-223.756103515625,-1177.0
2388551,373.8724670410156,-223.756103515625,-1177.0
2388567,373.8724670410156,-223.756103515625,-1177.0
2388583,373.8724670410156,-223.756103515625,-1177.0
2388599,373.8724670410156,-223.756103515625,-1177.0
2388615,373.8724670410156,-223.756103515625,-1177.0
2388631,373.8724670410156,-223.756103515625,-1177.0
2388647,373.8724670410156,-223.756103515625,-1177.0
2388663,373.8724670410156,-223.756103515625,-1177.0
2388679,373.8724670410156,-223.756103515625,-1177.0
2388695,373.8724670410156,-223.756103515625,-1177.0
2388711,373.8724670410156,-223.756103515625,-1177.0
2388727,373.8724670410156,-223.756103515625,-1177.0
2388743,373.8724670410156,-223.756103515625,-1177.0
2388759,373.8724670410156,-223.756103515625,-1177.0
2388775,373.8724670410156,-223.756103515625,-1177.0
2388791,373.8724670410156,-223.756103515625,-1177.0
2388807,373.8724670410156,-223.756103515625,-1177.0
2388823,373.8724670410156,-223.756103515625,-1177.0
2388839,373.8724670410156,-223.756103515625,-1177.0
2388855,373.8724670410156,-223.756103515625,-1177.0
2388871,373.8724670410156,-223.756103515625,-1177.0
2388887,373.8724670410156,-223.756103515625,-1177.0
2388903,373.8724670410156,-223.756103515625,-1177.0
2388919,373.8724670410156,-223.756103515625,-1177.0
2388935,373.8724670410156,-223.756103515625,-1177.0
2388951,373.8724670410156,-223.756103515625,-1177.0
2388967,373.8724670410156,-223.756103515625,-1177.0
2388983,373.8724670410156,-223.756103515625,-1177.0
2388999,373.8724670410156,-223.756103515625,-1177.0
2389015,373.8724670410156,-223.756103515625,-1177.0
2389031,373.8724670410156,-223.756103515625,-1177.0
2389047,373.8724670410156,-223.756103515625,-1177.0
2389063,373.8724670410156,-223.756103515625,-1177.0
2389079,373.8724670410156,-223.756103515625,-1177.0
2389095,373.8724670410156,-223.756103515625,-1177.0
2389111,373.8724670410156,-223.756103515625,-1177.0
2389127,373.8724670410156,-223.756103515625,-1177.0
2389143,373.8724670410156,-223.756103515625,-1177.0
2389159,373.8724670410156,-223.756103515625,-1177.0
2389175,373.8724670410156,-223.756103515625,-1177.0
2389191,373.8724670410156,-223.756103515625,-1177.0
2389207,373.8724670410156,-223.756103515625,-1177.0
2389223,373.8724670410156,-223.756103515625,-1177.0
2389239,373.8724670410156,-223.756103515625,-1177.0
2389255,373.8724670410156,-223.756103515625,-1177.0
2389271,373.8724670410156,-223.756103515625,-1177.0
2389287,373.8724670410156,-223.756103515625,-1177.0
2389303,373.8724670410156,-223.756103515625,-1177.0
2389319,373.8724670410156,-223.756103515625,-1177.0
2389335,373.8724670410156,-223.756103515625,-1177.0
2389351,373.8724670410156,-223.756103515625,-1177.0
2389367,373.8724670410156,-223.756103515625,-1177.0
2389383,373.8724670410156,-223.756103515625,-1177.0
2389399,373.8724670410156,-223.756103515625,-1177.0
2389415,373.8724670410156,-223.756103515625,-1177.0
2389431,373.8724670410156,-223.756103515625,-1177.0
2389447,373.8724670410156,-223.756103515625,-1177.0
2389463,373.8724670410156,-223.756103515625,-1177.0
2389479,373.8724670410156,-223.756103515625,-1177.0
2389495,373.8724670410156,-223.756103515625,-1177.0
2389511,373.8724670410156,-223.756103515625,-1177.0
2389527,373.8724670410156,-223.756103515625,-1177.0
2389543,373.8724670410156,-223.756103515625,-1177.0
2389559,373.8724670410156,-223.756103515625,-1177.0
2389575,373.8724670410156,-223.756103515625,-1177.0
2389591,373.8724670410156,-223.756103515625,-1177.0
2389607,373.8724670410156,-223.756103515625,-1177.0
2389623,373.8724670410156,-223.756103515625,-1177.0
2389639,373.8724670410156,-223.756103515625,-1177.0
2389655,373.8724670410156,-223.756103515625,-1177.0
2389671,373.8724670410156,-223.756103515625,-1177.0
2389687,373.8724670410156,-223.756103515625,-1177.0
2389703,373.8724670410156,-223.756103515625,-1177.0
2389719,373.8724670410156,-223.756103515625,-1177.0
2389735,373.8724670410156,-223.756103515625,-1177.0
2389751,373.8724670410156,-223.756103515625,-1177.0
2389767,373.8724670410156,-223.756103515625,-1177.0
2389783,373.8724670410156,-223.756103515625,-1177.0
2389799,373.8724670410156,-223.756103515625,-1177.0
2389815,373.8724670410156,-223.756103515625,-1177.0
2389831,373.8724670410156,-223.756103515625,-1177.0
2389847,373.8724670410156,-223.756103515625,-1177.0
2389863,373.8724670410156,-223.756103515625,-1177.0
2389879,373.8724670410156,-223.756103515625,-1177.0
2389895,373.8724670410156,-223.756103515625,-1177.0
2389911,373.8724670410156,-223.756103515625,-1177.0
2389927,373.8724670410156,-223.756103515625,-1177.0
2389943,373.8724670410156,-223.756103515625,-1177.0
2389959,373.8724670410156,-223.756103515625,-1177.0
2389975,373.8724670410156,-223.756103515625,-1177.0
2389991,373.8724670410156,-223.756103515625,-1177.0
2390007,373.8724670410156,-223.756103515625,-1177.0
2390023,373.8724670410156,-223.756103515625,-1177.0
2390039,373.8724670410156,-223.756103515625,-1177.0
2390055,373.8724670410156,-223.756103515625,-1177.0
2390071,373.8724670410156,-223.756103515625,-1177.0
2390087,373.8724670410156,-223.756103515625,-1177.0
2390103,373.8724670410156,-223.756103515625,-1177.0
2390119,373.8724670410156,-223.756103515625,-1177.0
2390135,373.8724670410156,-223.756103515625,-1177.0
2390151,373.8724670410156,-223.756103515625,-1177.0
2390167,373.8724670410156,-223.756103515625,-1177.0
2390183,373.8724670410156,-223.756103515625,-1177.0
2390199,373.8724670410156,-223.756103515625,-1177.0
2390215,373.8724670410156,-223.756103515625,-1177.0
2390231,373.8724670410156,-223.756103515625,-1177.0
2390247,373.8724670410156,-223.756103515625,-1177.0
2390263,373.8724670410156,-223.756103515625,-1177.0
2390279,373.8724670410156,-223.756103515625,-1177.0
2390295,373.8724670410156,-223.756103515625,-1177.0
2390311,373.8724670410156,-223.756103515625,-1177.0
2390327,373.8724670410156,-223.756103515625,-1177.0
2390343,373.8724670410156,-223.756103515625,-1177.0
2390359,373.8724670410156,-223.756103515625,-1177.0
2390375,373.8724670410156,-223.756103515625,-1177.0
2390391,373.8724670410156,-223.756103515625,-1177.0
2390407,373.8724670410156,-223.756103515625,-1177.0
2390423,373.8724670410156,-223.756103515625,-1177.0
2390439,373.8724670410156,-223.756103515625,-1177.0
2390455,373.8724670410156,-223.756103515625,-1177.0
2390471,373.8724670410156,-223.756103515625,-1177.0
2390487,373.8724670410156,-223.756103515625,-1177.0
2390503,373.8724670410156,-223.756103515625,-1177.0
2390519,373.8724670410156,-223.756103515625,-1177.0
2390535,373.8724670410156,-223.756103515625,-1177.0
2390551,373.8724670410156,-223.756103515625,-1177.0
2390567,373.8724670410156,-223.756103515625,-1177.0
2390583,373.8724670410156,-223.756103515625,-1177.0
2390599,373.8724670410156,-223.756103515625,-1177.0
2390615,373.8724670410156,-223.756103515625,-1177.0
2390631,373.8724670410156,-223.756103515625,-1177.0
2390647,373.8724670410156,-223.756103515625,-1177.0
2390663,373.8724670410156,-223.756103515625,-1177.0
2390679,373.8724670410156,-223.756103515625,-1177.0
2390695,373.8724670410156,-223.756103515625,-1177.0
2390711,373.8724670410156,-223.756103515625,-1177.0
2390727,373.8724670410156,-223.756103515625,-1177.0
2390743,373.8724670410156,-223.756103515625,-1177.0
2390759,373.8724670410156,-223.756103515625,-1177.0
2390775,373.8724670410156,-223.756103515625,-1177.0
2390791,373.8724670410156,-223.756103515625,-1177.0
2390807,373.8724670410156,-223.756103515625,-1177.0
2390823,373.8724670410156,-223.756103515625,-1177.0
2390839,373.8724670410156,-223.756103515625,-1177.0
2390855,373.8724670410156,-223.756103515625,-1177.0
2390871,373.8724670410156,-223.756103515625,-1177.0
2390887,373.8724670410156,-223.756103515625,-1177.0
2390903,373.8724670410156,-223.756103515625,-1177.0
2390919,373.8724670410156,-223.756103515625,-1177.0
2390935,373.8724670410156,-223.756103515625,-1177.0
2390951,373.8724670410156,-223.756103515625,-1177.0
2390967,373.8724670410156,-223.756103515625,-1177.0
2390983,373.8724670410156,-223.756103515625,-1177.0
2390999,373.8724670410156,-223.756103515625,-1177.0
2391015,373.8724670410156,-223.756103515625,-1177.0
2391031,373.8724670410156,-223.756103515625,-1177.0
2391047,373.8724670410156,-223.756103515625,-1177.0
2391063,373.8724670410156,-223.756103515625,-1177.0
2391079,373.8724670410156,-223.756103515625,-1177.0
2391095,373.8724670410156,-223.756103515625,-1177.0
2391111,373.8724670410156,-223.756103515625,-1177.0
2391127,373.8724670410156,-223.756103515625,-1177.0
2391143,373.8724670410156,-223.756103515625,-1177.0
2391159,373.8724670410156,-223.756103515625,-1177.0
2391175,373.8724670410156,-223.756103515625,-1177.0
2391191,373.8724670410156,-223.756103515625,-1177.0
2391207,373.8724670410156,-223.756103515625,-1177.0
2391223,373.8724670410156,-223.756103515625,-1177.0
2391239,373.8724670410156,-223.756103515625,-1177.0
2391255,373.8724670410156,-223.756103515625,-1177.0
2391271,373.8724670410156,-223.756103515625,-1177.0
2391287,373.87249755859375,-223.756103515625,-1176.9998779296875
2391303,373.8726806640625,-223.756103515625,-1176.9998779296875
2391319,373.87347412109375,-223.756103515625,-1176.9998779296875
2391335,373.87481689453125,-223.756103515625,-1176.999755859375
2391351,373.8782653808594,-223.756103515625,-1176.9996337890625
2391367,373.8829345703125,-223.756103515625,-1176.99951171875
2391383,373.8921203613281,-223.756103515625,-1176.999267578125
2391399,373.90313720703125,-223.756103515625,-1176.9989013671875
2391415,373.92596435546875,-223.756103515625,-1176.9981689453125
2391431,373.9509582519531,-223.756103515625,-1176.997314453125
2391447,373.9842529296875,-223.756103515625,-1176.99609375
2391463,374.0181884765625,-223.756103515625,-1176.994873046875
2391479,374.0738830566406,-223.756103515625,-1176.9927978515625
2391495,374.1296081542969,-223.756103515625,-1176.9908447265625
2391511,374.202880859375,-223.756103515625,-1176.98828125
2391527,374.276123046875,-223.756103515625,-1176.9857177734375
2391543,374.35491943359375,-223.756103515625,-1176.9830322265625
2391559,374.43365478515625,-223.756103515625,-1176.9803466796875
2391575,374.51666259765625,-223.756103515625,-1176.9774169921875
2391591,374.59967041015625,-223.756103515625,-1176.974365234375
2391607,374.6882019042969,-223.756103515625,-1176.971435546875
2391623,374.77667236328125,-223.756103515625,-1176.9683837890625
2391639,374.8653564453125,-223.756103515625,-1176.96533203125
2391655,374.9540100097656,-223.756103515625,-1176.9622802734375
2391671,375.0211181640625,-223.756103515625,-1176.9599609375
2391687,375.08819580078125,-223.756103515625,-1176.957763671875
2391703,375.1132507324219,-223.756103515625,-1176.9569091796875
2391719,375.1382751464844,-223.756103515625,-1176.9560546875
2391735,375.1417236328125,-223.756103515625,-1176.9559326171875
2391751,375.1451721191406,-223.756103515625,-1176.955810546875
2391767,375.14886474609375,-223.756103515625,-1176.955810546875
2391783,375.1525573730469,-223.756103515625,-1176.955810546875
2391799,375.1639099121094,-223.756103515625,-1176.9554443359375
2391815,375.1752014160156,-223.756103515625,-1176.9552001953125
2391831,375.18682861328125,-223.756103515625,-1176.9549560546875
2391847,375.1985168457031,-223.756103515625,-1176.95458984375
2391863,375.21038818359375,-223.756103515625,-1176.9542236328125
2391879,375.2222900390625,-223.756103515625,-1176.9539794921875
2391895,375.2342529296875,-223.756103515625,-1176.95361328125
2391911,375.2462158203125,-223.756103515625,-1176.953369140625
2391927,375.25811767578125,-223.756103515625,-1176.9530029296875
2391943,375.27001953125,-223.756103515625,-1176.9527587890625
2391959,375.28167724609375,-223.756103515625,-1176.9525146484375
2391975,375.2933349609375,-223.756103515625,-1176.9521484375
2391991,375.3046875,-223.756103515625,-1176.951904296875
2392007,375.3160095214844,-223.756103515625,-1176.9515380859375
2392023,375.326904296875,-223.756103515625,-1176.951171875
2392039,375.3377990722656,-223.756103515625,-1176.9508056640625
2392055,375.3479919433594,-223.756103515625,-1176.9503173828125
2392071,375.3582763671875,-223.756103515625,-1176.949951171875
2392087,375.3678283691406,-223.756103515625,-1176.94970703125
2392103,375.37738037109375,-223.756103515625,-1176.9493408203125
2392119,375.38623046875,-223.756103515625,-1176.9488525390625
2392135,375.3951721191406,-223.756103515625,-1176.948486328125
2392151,375.403564453125,-223.756103515625,-1176.9482421875
2392167,375.4119567871094,-223.756103515625,-1176.9481201171875
2392183,375.41986083984375,-223.756103515625,-1176.947998046875
2392199,375.427734375,-223.756103515625,-1176.94775390625
2392215,375.4351501464844,-223.756103515625,-1176.947509765625
2392231,375.4425048828125,-223.756103515625,-1176.947265625
2392247,375.4493713378906,-223.756103515625,-1176.947021484375
2392263,375.4562072753906,-223.756103515625,-1176.9468994140625
2392279,375.4625244140625,-223.756103515625,-1176.9466552734375
2392295,375.46881103515625,-223.756103515625,-1176.9464111328125
2392311,375.4744873046875,-223.756103515625,-1176.946044921875
2392327,375.4801940917969,-223.756103515625,-1176.94580078125
2392343,375.4852294921875,-223.756103515625,-1176.94580078125
2392359,375.4903259277344,-223.756103515625,-1176.9459228515625
2392375,375.4947204589844,-223.756103515625,-1176.9456787109375
2392391,375.4991455078125,-223.756103515625,-1176.9454345703125
2392407,375.5025329589844,-223.756103515625,-1176.9453125
2392423,375.50592041015625,-223.756103515625,-1176.9451904296875
2392439,375.50811767578125,-223.756103515625,-1176.945068359375
2392455,375.5103454589844,-223.756103515625,-1176.94482421875
2392471,375.5116271972656,-223.756103515625,-1176.9449462890625
2392487,375.51287841796875,-223.756103515625,-1176.9449462890625
2392503,375.5134582519531,-223.756103515625,-1176.9449462890625
2392519,375.5140686035156,-223.756103515625,-1176.945068359375
2392535,375.5142517089844,-223.756103515625,-1176.945068359375
